Section ID,Section,HS4 ID,HS4,Country Exports,Global Exports,Country Market Share,Global Share
1,Animal Products,0202,Frozen Bovine Meat,8926.0,36731118766.0,0.002,0.160
1,Animal Products,0204,Sheep and Goat Meat,1921519.0,9008008299.0,0.507,0.039
1,Animal Products,0301,Live Fish,129.0,2436451153.0,0.000,0.011
1,Animal Products,0302,Non-fillet Fresh Fish,47616.0,25907250681.0,0.013,0.113
1,Animal Products,0303,Non-fillet Frozen Fish,38067849.0,26854514392.0,10.049,0.117
1,Animal Products,0304,Fish Fillets,1761301.0,29690568175.0,0.465,0.129
1,Animal Products,0306,Crustaceans,2133.0,31802959396.0,0.001,0.139
1,Animal Products,0307,Molluscs,325605437.0,14657005677.0,85.956,0.064
4,Foodstuffs,1605,Processed Crustaceans,23220.0,10249500363.0,0.006,0.045
4,Foodstuffs,1905,Baked Goods,23.0,58366799768.0,0.000,0.254
4,Foodstuffs,2008,Other Processed Fruits and Nuts,34.0,20936273542.0,0.000,0.091
4,Foodstuffs,2106,Other Edible Preparations,9885.0,63845500629.0,0.003,0.278
4,Foodstuffs,2301,Animal Meal and Pellets,943.0,9405409526.0,0.000,0.041
4,Foodstuffs,2302,Bran,1755.0,2976156334.0,0.000,0.013
4,Foodstuffs,2309,Animal Food,289102.0,46869861426.0,0.076,0.204
5,Mineral Products,2710,Refined Petroleum,221.0,883642898355.0,0.000,3.851
6,Chemical Products,3002,"Vaccines, blood, antisera, toxins and cultures",11668.0,329849040722.0,0.003,1.438
6,Chemical Products,3006,Special Pharmaceuticals,55450.0,20372997453.0,0.015,0.089
6,Chemical Products,3303,Perfumes,1054.0,28697985705.0,0.000,0.125
6,Chemical Products,3304,Beauty Products,1324.0,67210104226.0,0.000,0.293
6,Chemical Products,3307,Shaving Products,4882.0,15257906058.0,0.001,0.066
6,Chemical Products,3404,Waxes,12823.0,4097939676.0,0.003,0.018
6,Chemical Products,3507,Enzymes,6916.0,7623198537.0,0.002,0.033
6,Chemical Products,3801,Artificial Graphite,906.0,3642836765.0,0.000,0.016
6,Chemical Products,3822,Laboratory Reagents,804.0,46778036283.0,0.000,0.204
6,Chemical Products,3825,Residual products of the chemical or allied industries,103.0,323026021.0,0.000,0.001
7,Plastics and Rubbers,3907,Polyacetals,4395.0,66200126151.0,0.001,0.289
7,Plastics and Rubbers,3917,Plastic Pipes,481.0,33241172064.0,0.000,0.145
7,Plastics and Rubbers,3922,Plastic Wash Basins,5498.0,5396888562.0,0.001,0.024
7,Plastics and Rubbers,3923,Plastic Lids,108.0,67134051340.0,0.000,0.293
7,Plastics and Rubbers,3924,Plastic Housewares,86.0,25963188506.0,0.000,0.113
7,Plastics and Rubbers,3926,Other Plastic Products,1995.0,98515888580.0,0.001,0.429
7,Plastics and Rubbers,4009,Rubber Pipes,2715.0,12904391457.0,0.001,0.056
7,Plastics and Rubbers,4011,Rubber Tires,175.0,101218331649.0,0.000,0.441
7,Plastics and Rubbers,4015,Rubber Apparel,34956.0,9798942184.0,0.009,0.043
7,Plastics and Rubbers,4016,Other Rubber Products,7349.0,34174108224.0,0.002,0.149
8,Animal Hides,4113,Leather further prepared after tanning or crusting of animals (other than ovine),20.0,739189520.0,0.000,0.003
8,Animal Hides,4202,Trunks and Cases,218.0,80094521649.0,0.000,0.349
8,Animal Hides,4203,Leather Apparel,1546.0,7262131897.0,0.000,0.032
9,Wood Products,4415,Wood Crates,117.0,5075622898.0,0.000,0.022
10,Paper Goods,4902,Newspapers,557.0,2229502453.0,0.000,0.010
